project_name,current_path,type,language,framework,dependencies_summary,tests_present,docs_present,priority,status,rationale,evidence_paths,suggested_target_group,recommended_action
swd-pulse,.,service,JavaScript/TypeScript,"Express, Mongoose","@vercel/speed-insights, express, mongoose, ollama",yes,partial,P0,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=partial.",package.json,services,keep_in_place
arc-axis-adapter,projects/SWD-ARC/Lab Template/files,template,JavaScript/TypeScript,Express,"express, openai",yes,yes,P3,TEMPLATE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/SWD-ARC/Lab Template/files/package.json; projects/SWD-ARC/Lab Template/files/README.md,templates,move_to_normalized_group
swd-vault-dashboard,projects/SWD-ARC/apps/controls-center,application,JavaScript/TypeScript,"Next.js, React","better-sqlite3, next, react, react-dom",yes,yes,P0,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/SWD-ARC/apps/controls-center/package.json; projects/SWD-ARC/apps/controls-center/README.md,applications,keep_in_place
swd-mcp-server,projects/SWD-ARC/mcp/server,tooling,JavaScript/TypeScript,NEEDS_REVIEW,"@modelcontextprotocol/sdk, better-sqlite3",yes,yes,P2,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/SWD-ARC/mcp/server/package.json; projects/SWD-ARC/mcp/server/README.md,tooling,keep_in_place
swd-mcp-server,projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server,archive,JavaScript/TypeScript,NEEDS_REVIEW,"@modelcontextprotocol/sdk, better-sqlite3",yes,yes,P4,ARCHIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server/package.json; projects/_archive/2026-03-03-workspace-reorg/absorbed-projects/SWD-mcp-server/README.md,archive,archive
wps-sif-tool,projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool,archive,JavaScript/TypeScript,"Next.js, Playwright, React","decimal.js, next, papaparse, prop-types, react, react-dom, xlsx, zod",yes,yes,P4,ARCHIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool/package.json; projects/_archive/2026-03-03-workspace-reorg/user-requested/wps-sif-tool/README.md,archive,archive
docsmith-licensing-service,projects/docsmith-licensing-service,docs,JavaScript/TypeScript,"Next.js, React","@azure/identity, @microsoft/microsoft-graph-client, isomorphic-fetch, next, pg, react, react-dom",yes,yes,P1,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/docsmith-licensing-service/package.json; projects/docsmith-licensing-service/README.md,docs,keep_in_place
docsmith-payment-gateway,projects/docsmith-payment-gateway,docs,JavaScript/TypeScript,"Next.js, React","next, pg, react, react-dom",yes,yes,P1,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/docsmith-payment-gateway/package.json; projects/docsmith-payment-gateway/README.md,docs,keep_in_place
swd-pulse,projects/node-backend-starter,template,JavaScript/TypeScript,"Express, Mongoose","@vercel/speed-insights, express, mongoose",yes,yes,P3,TEMPLATE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/node-backend-starter/package.json; projects/node-backend-starter/README.md,templates,move_to_normalized_group
node-backend-starter-v2,projects/node-backend-starter-v2,template,JavaScript/TypeScript,"Express, Prisma","@prisma/client, cors, express, express-rate-limit, helmet, js-yaml, jsonwebtoken, swagger-ui-express",yes,yes,P3,TEMPLATE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/node-backend-starter-v2/package.json; projects/node-backend-starter-v2/README.md,templates,move_to_normalized_group
swd-docsmith-sif-extension,projects/swd-docsmith-sif-extension,extension,JavaScript/TypeScript,"Next.js, Playwright, React","decimal.js, next, papaparse, prop-types, react, react-dom, react-window, xlsx",yes,yes,P1,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/swd-docsmith-sif-extension/package.json; projects/swd-docsmith-sif-extension/README.md,extensions,keep_in_place
swd-docsmith_brand-website,projects/swd-docsmith_brand-website,application,JavaScript/TypeScript,"Next.js, Playwright, React","@vercel/analytics, @vercel/sandbox, @vercel/speed-insights, decimal.js, next, papaparse, pg, prop-types",yes,yes,P2,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/swd-docsmith_brand-website/package.json; projects/swd-docsmith_brand-website/README.md,applications,keep_in_place
swd-finstack-mcp-server,projects/swd-finstack/mcp/server,tooling,JavaScript/TypeScript,NEEDS_REVIEW,"@modelcontextprotocol/sdk, axios, dotenv, winston",yes,no,P2,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=no.",projects/swd-finstack/mcp/server/package.json,tooling,keep_in_place
swd-landing,projects/swd-landing,application,JavaScript/TypeScript,"Next.js, React","@fontsource/inter, framer-motion, next, react, react-dom",yes,yes,P1,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/swd-landing/package.json; projects/swd-landing/README.md,applications,keep_in_place
wps-hr-core,projects/wps-hr-core,service,JavaScript/TypeScript,"Next.js, React","next, react, react-dom",yes,yes,P2,ACTIVE,"Type inferred from path and package manifest; tests=yes, docs=yes.",projects/wps-hr-core/package.json; projects/wps-hr-core/README.md,services,keep_in_place
swd-vault-dashboard,vault/dashboard,application,JavaScript/TypeScript,"Next.js, React","better-sqlite3, next, react, react-dom",no,yes,P0,ACTIVE,"Type inferred from path and package manifest; tests=no, docs=yes.",vault/dashboard/package.json; vault/dashboard/README.md,applications,keep_in_place
